Sex,Discipline,Subdiscipline,Count,Year
Female,Engineering,Aerospace,238,2000
Female,Engineering,Chemical,2203,2000
Female,Engineering,Civil,2325,2000
Female,Engineering,Electrical,2350,2000
Female,Engineering,Industrial,1307,2000
Female,Engineering,Materials,268,2000
Female,Engineering,Mechanical,1782,2000
Female,Engineering,Other,1733,2000
Female,Science,Agricultural sciences,8465,2000
Female,Science,Biological sciences,37951,2000
Female,Science,Atmospheric sciences,114,2000
Female,Science,Earth sciences,1409,2000
Female,Science,Oceanography,83,2000
Female,Science,Computer sciences,10522,2000
Female,Science,Mathematics and statistics,5598,2000
Female,Science,Astronomy,54,2000
Female,Science,Chemistry,4905,2000
Female,Science,Physics,724,2000
Female,Science,Other physical sciences,305,2000
Female,Science,Psychology,57114,2000
Female,Science,Anthropology,4742,2000
Female,Science,Area and ethnic studies,3571,2000
Female,Science,Economics,6384,2000
Female,Science,History of science,52,2000
Female,Science,Linguistics,490,2000
Female,Science,Political science and public administration,18321,2000
Female,Science,Sociology,18028,2000
Female,Science,Other social sciences,9914,2000
Female,Engineering,Aerospace,304,2001
Female,Engineering,Chemical,2055,2001
Female,Engineering,Civil,2041,2001
Female,Engineering,Electrical,2542,2001
Female,Engineering,Industrial,1223,2001
Female,Engineering,Materials,263,2001
Female,Engineering,Mechanical,1738,2001
Female,Engineering,Other,1746,2001
Female,Science,Agricultural sciences,8490,2001
Female,Science,Biological sciences,37038,2001
Female,Science,Atmospheric sciences,132,2001
Female,Science,Earth sciences,1400,2001
Female,Science,Oceanography,90,2001
Female,Science,Computer sciences,12048,2001
Female,Science,Mathematics and statistics,5486,2001
Female,Science,Astronomy,95,2001
Female,Science,Chemistry,4774,2001
Female,Science,Physics,755,2001
Female,Science,Other physical sciences,285,2001
Female,Science,Psychology,57430,2001
Female,Science,Anthropology,4706,2001
Female,Science,Area and ethnic studies,3653,2001
Female,Science,Economics,6921,2001
Female,Science,History of science,56,2001
Female,Science,Linguistics,512,2001
Female,Science,Political science and public administration,18651,2001
Female,Science,Sociology,17920,2001
Female,Science,Other social sciences,10310,2001
Female,Engineering,Aerospace,312,2002
Female,Engineering,Chemical,2123,2002
Female,Engineering,Civil,2224,2002
Female,Engineering,Electrical,2717,2002
Female,Engineering,Industrial,1341,2002
Female,Engineering,Materials,285,2002
Female,Engineering,Mechanical,1779,2002
Female,Engineering,Other,1901,2002
Female,Science,Agricultural sciences,8634,2002
Female,Science,Biological sciences,37645,2002
Female,Science,Atmospheric sciences,151,2002
Female,Science,Earth sciences,1446,2002
Female,Science,Oceanography,105,2002
Female,Science,Computer sciences,13690,2002
Female,Science,Mathematics and statistics,5752,2002
Female,Science,Astronomy,116,2002
Female,Science,Chemistry,4723,2002
Female,Science,Physics,824,2002
Female,Science,Other physical sciences,311,2002
Female,Science,Psychology,59908,2002
Female,Science,Anthropology,4926,2002
Female,Science,Area and ethnic studies,3803,2002
Female,Science,Economics,7387,2002
Female,Science,History of science,63,2002
Female,Science,Linguistics,604,2002
